,paymentId,amount,sourceType
95,5176392,261.9,PAYU
96,5176398,33.4998,DISCOUNT
97,5176398,1641.49,PAYU
98,5176436,4.9,DISCOUNT
99,5176436,44.1,PAYU
100,5176456,4.84,DISCOUNT
101,5176456,237.16,PAYU
102,5176462,4.9,DISCOUNT
103,5176462,44.1,PAYU
104,5176484,50.0,DISCOUNT
105,5176484,2290.0,PAYU
106,5176502,11.88,DISCOUNT
107,5176502,186.12,PAYU
108,5176504,42.2,DISCOUNT
109,5176504,379.8,PAYU
110,5176524,4.9,DISCOUNT
111,5176524,44.1,PAYU
112,5176558,50.0,DISCOUNT
113,5176558,973.0,PAYU
114,5176610,44.0,DISCOUNT
115,5176610,396.0,PAYU
116,5176668,50.0,DISCOUNT
117,5176668,1010.0,PAYU
118,5176672,3033.7,PAYU
119,5176698,30.0,DISCOUNT
120,5176698,470.0,PAYU
121,5176712,4.9,DISCOUNT
122,5176712,44.1,PAYU
123,5176722,7.26,DISCOUNT
124,5176722,113.74,PAYU
125,5176768,29.5,DISCOUNT
126,5176768,265.5,PAYU
127,5176778,50.0,DISCOUNT
128,5176778,2919.0,PAYU
129,5176806,50.0,DISCOUNT
130,5176806,506.0,PAYU
131,5176816,9.0,DISCOUNT
132,5176816,141.0,PAYU
133,5176850,9.96,DISCOUNT
134,5176850,488.04,PAYU
135,5176876,9.12,DISCOUNT
136,5176876,142.88,PAYU
137,5176884,4.9,DISCOUNT
138,5176884,44.1,PAYU
139,5176894,38.0,DISCOUNT
140,5176894,342.0,PAYU
141,5176936,50.0,DISCOUNT
142,5176936,2672.0,PAYU
143,5176948,9.96,DISCOUNT
144,5176948,488.04,PAYU
145,5176974,34.0,DISCOUNT
146,5176974,306.0,PAYU
147,5177018,50.0,DISCOUNT
148,5177018,566.0,PAYU
149,5177086,4.9,DISCOUNT
150,5177086,44.1,PAYU
151,5177152,4.9,DISCOUNT
152,5177152,44.1,PAYU
153,5177172,3.0,DISCOUNT
154,5177172,47.0,PAYU
155,5177184,50.0,DISCOUNT
156,5177184,649.0,PAYU
157,5177204,9.0,DISCOUNT
158,5177204,441.0,PAYU
159,5177212,1.2,DISCOUNT
160,5177212,18.8,PAYU
161,5177250,32.1,DISCOUNT
162,5177250,288.9,PAYU
163,5177262,8.6,DISCOUNT
164,5177262,421.4,PAYU
165,5177280,5.18,DISCOUNT
166,5177280,253.82,PAYU
167,5177286,9.162,DISCOUNT
168,5177286,448.94,PAYU
169,5177316,49.9,DISCOUNT
170,5177316,449.1,PAYU
171,5177324,22.1,DISCOUNT
172,5177324,198.9,PAYU
173,5177328,15.06,DISCOUNT
174,5177328,235.94,PAYU
175,5177334,4.9,DISCOUNT
176,5177334,44.1,PAYU
177,5177376,15.0,DISCOUNT
178,5177376,235.0,PAYU
179,5177378,9.0,DISCOUNT
180,5177378,141.0,PAYU
181,5177388,4.9,DISCOUNT
182,5177388,44.1,PAYU
183,5177436,2.5,DISCOUNT
184,5177436,47.5,PAYU
185,5177448,15.58,DISCOUNT
186,5177448,763.42,PAYU
187,5177450,50.0,DISCOUNT
188,5177450,5950.0,PAYU
189,5177470,24.6,DISCOUNT
190,5177470,221.4,PAYU
191,5177518,4.9,DISCOUNT
192,5177518,44.1,PAYU
193,5177532,64.9,DISCOUNT
194,5177532,584.1,PAYU
195,5177564,15.06,DISCOUNT
196,5177564,235.94,PAYU
197,5177586,6.6,DISCOUNT
198,5177586,103.4,PAYU
199,5177620,2.12,DISCOUNT
200,5177620,103.88,PAYU
201,5177680,2.12,DISCOUNT
202,5177680,103.88,PAYU
203,5177700,2.9,DISCOUNT
204,5177700,26.1,PAYU
205,5177714,2.9,DISCOUNT
206,5177714,26.1,PAYU
207,5177748,2.12,DISCOUNT
208,5177748,103.88,PAYU
209,5177752,31.7,DISCOUNT
210,5177752,285.3,PAYU
211,5177784,9019.1,PAYU
212,5177836,1.08,DISCOUNT
213,5177836,16.92,PAYU
214,5177904,3460.0,PAYU
215,5177910,314.14,PAYU
216,5177932,100.0,PAYU
217,5177946,2.12,DISCOUNT
218,5177946,103.88,PAYU
219,5177982,2.12,DISCOUNT
220,5177982,103.88,PAYU
221,5178016,7.2,DISCOUNT
222,5178016,112.8,PAYU
223,5178048,2.12,DISCOUNT
224,5178048,103.88,PAYU
225,5178106,6.6,DISCOUNT
226,5178106,103.4,PAYU
227,5178134,2.12,DISCOUNT
228,5178134,103.88,PAYU
229,5178160,4150.0,PAYU
230,5178192,4.2,DISCOUNT
231,5178192,65.8,PAYU
232,5178210,4.9,DISCOUNT
233,5178210,44.1,PAYU
234,5178228,21.12,DISCOUNT
235,5178228,330.88,PAYU
236,5178240,410.0,PAYU
237,5178252,2.12,DISCOUNT
238,5178252,103.88,PAYU
239,5178260,50.0,DISCOUNT
240,5178260,3030.0,PAYU
241,5178366,2.12,DISCOUNT
242,5178366,103.88,PAYU
243,5178422,10.25,DISCOUNT
244,5178422,194.75,PAYU
245,5178446,9.0,DISCOUNT
246,5178446,141.0,PAYU
247,5178452,2.12,DISCOUNT
248,5178452,103.88,PAYU
249,5178458,12.0,DISCOUNT
250,5178458,188.0,PAYU
251,5178484,2.12,DISCOUNT
252,5178484,103.88,PAYU
253,5178530,27.1,DISCOUNT
254,5178530,243.9,PAYU
255,5178550,3.78,DISCOUNT
256,5178550,59.22,PAYU
257,5178554,32005.85,PAYU
258,5178558,8.14,DISCOUNT
259,5178558,398.86,PAYU
260,5178604,0.6,DISCOUNT
261,5178604,9.4,PAYU
262,5178620,6.0,DISCOUNT
263,5178620,94.0,PAYU
264,5178650,550.0,PAYU
265,5178700,100.0,PAYU
266,5178744,2.12,DISCOUNT
267,5178744,103.88,PAYU
268,5178746,2.98,DISCOUNT
269,5178746,146.02,PAYU
270,5178776,2.16,DISCOUNT
271,5178776,33.84,PAYU
272,5178786,2.12,DISCOUNT
273,5178786,103.88,PAYU
274,5178798,4.9,DISCOUNT
275,5178798,44.1,PAYU
276,5178804,100.0,PAYU
277,5178820,23.484,DISCOUNT
278,5178820,1150.72,PAYU
279,5178822,3.0,DISCOUNT
280,5178822,47.0,PAYU
281,5178862,4.9,DISCOUNT
282,5178862,44.1,PAYU
283,5178868,4.9,DISCOUNT
284,5178868,44.1,PAYU
285,5178932,3037.07,PAYU
286,5178950,4.9,DISCOUNT
287,5178950,44.1,PAYU
288,5178984,1.2,DISCOUNT
289,5178984,18.8,PAYU
290,5179034,4.9,DISCOUNT
291,5179034,44.1,PAYU
292,5179072,2.12,DISCOUNT
293,5179072,103.88,PAYU
294,5179104,4.9,DISCOUNT
295,5179104,44.1,PAYU
296,5179154,2.12,DISCOUNT
297,5179154,103.88,PAYU
298,5179198,4.9,DISCOUNT
299,5179198,44.1,PAYU
300,5179218,13.92,DISCOUNT
301,5179218,218.08,PAYU
302,5179246,50.0,DISCOUNT
303,5179246,1100.0,PAYU
304,5179262,13.2,DISCOUNT
305,5179262,206.8,PAYU
306,5179266,4.9,DISCOUNT
307,5179266,44.1,PAYU
308,5179400,2160.0,PAYU
309,5179410,27.3,DISCOUNT
310,5179410,427.7,PAYU
311,5179422,550.0,PAYU
312,5179426,4.9,DISCOUNT
313,5179426,44.1,PAYU
314,5179506,7.26,DISCOUNT
315,5179506,113.74,PAYU
316,5179528,30.0,DISCOUNT
317,5179528,740.0,PAYU
318,5179530,4.9,DISCOUNT
319,5179530,44.1,PAYU
320,5179542,350.0,PAYU
321,5179602,50.0,DISCOUNT
322,5179602,950.0,PAYU
323,5179632,30.0,DISCOUNT
324,5179632,621.0,PAYU
325,5179642,4.9,DISCOUNT
326,5179642,44.1,PAYU
327,5179664,4.9,DISCOUNT
328,5179664,44.1,PAYU
329,5179734,5.1,DISCOUNT
330,5179734,45.9,PAYU
331,5179744,4.9,DISCOUNT
332,5179744,44.1,PAYU
333,5179782,12.66,DISCOUNT
334,5179782,198.34,PAYU
335,5179810,1.32,DISCOUNT
336,5179810,20.68,PAYU
337,5179820,18.0,DISCOUNT
338,5179820,282.0,PAYU
339,5179848,50.0,DISCOUNT
340,5179848,1589.6,PAYU
341,5179866,4.9,DISCOUNT
342,5179866,44.1,PAYU
343,5179890,11722.47,PAYU
344,5179942,69.9,DISCOUNT
345,5179942,629.1,PAYU
346,5179982,9.0,DISCOUNT
347,5179982,141.0,PAYU
348,5180008,12.0,DISCOUNT
349,5180008,588.0,PAYU
350,5180044,4.9,DISCOUNT
351,5180044,44.1,PAYU
352,5180094,12.0,DISCOUNT
353,5180094,188.0,PAYU
354,5180126,4.9,DISCOUNT
355,5180126,44.1,PAYU
356,5180228,100.0,DISCOUNT
357,5180228,1495.0,PAYU
358,5180246,4.9,DISCOUNT
359,5180246,44.1,PAYU
360,5180248,3.12,DISCOUNT
361,5180248,48.88,PAYU
362,5180326,4.9,DISCOUNT
363,5180326,44.1,PAYU
364,5180370,2.0,DISCOUNT
365,5180370,98.0,PAYU
366,5180404,1.92,DISCOUNT
367,5180404,30.08,PAYU
368,5180458,4.9,DISCOUNT
369,5180458,44.1,PAYU
370,5180470,4.0,DISCOUNT
371,5180470,196.0,PAYU
372,5180472,6.6,DISCOUNT
373,5180472,103.4,PAYU
374,5180478,12.06,DISCOUNT
375,5180478,188.94,PAYU
376,5180528,4.9,DISCOUNT
377,5180528,44.1,PAYU
378,5180544,15.0,DISCOUNT
379,5180544,235.0,PAYU
380,5180686,4.9,DISCOUNT
381,5180686,44.1,PAYU
382,5180698,2.12,DISCOUNT
383,5180698,103.88,PAYU
384,5180746,4.9,DISCOUNT
385,5180746,44.1,PAYU
386,5180756,15.06,DISCOUNT
387,5180756,235.94,PAYU
388,5180776,2.12,DISCOUNT
389,5180776,103.88,PAYU
390,5180784,4.68,DISCOUNT
391,5180784,73.32,PAYU
392,5180790,4.32,DISCOUNT
393,5180790,67.68,PAYU
394,5180834,1.2,DISCOUNT
395,5180834,18.8,PAYU
396,5180836,7.26,DISCOUNT
397,5180836,113.74,PAYU
398,5180868,2.12,DISCOUNT
399,5180868,103.88,PAYU
400,5180902,4.32,DISCOUNT
401,5180902,67.68,PAYU
402,5180922,25.7,DISCOUNT
403,5180922,231.3,PAYU
404,5180930,6.0,DISCOUNT
405,5180930,94.0,PAYU
406,5180942,4.9,DISCOUNT
407,5180942,44.1,PAYU
408,5180984,5.0,DISCOUNT
409,5180984,245.0,PAYU
410,5180992,1.2,DISCOUNT
411,5180992,18.8,PAYU
412,5181016,15.0,DISCOUNT
413,5181016,235.0,PAYU
414,5181030,30.0,DISCOUNT
415,5181030,472.0,PAYU
416,5181086,11.94,DISCOUNT
417,5181086,187.06,PAYU
418,5181144,4.9,DISCOUNT
419,5181144,44.1,PAYU
420,5181200,3.66,DISCOUNT
421,5181200,57.34,PAYU
422,5181210,15.0,DISCOUNT
423,5181210,235.0,PAYU
424,5181298,9.3,DISCOUNT
425,5181298,145.7,PAYU
426,5181324,3.66,DISCOUNT
427,5181324,57.34,PAYU
428,5181326,4.9,DISCOUNT
429,5181326,44.1,PAYU
430,5181458,5030.0,PAYU
431,5181504,3.0,DISCOUNT
432,5181504,47.0,PAYU
433,5181538,6.6,DISCOUNT
434,5181538,103.4,PAYU
435,5181540,4.9,DISCOUNT
436,5181540,44.1,PAYU
437,5181558,2.46,DISCOUNT
438,5181558,38.54,PAYU
439,5181598,50.0,DISCOUNT
440,5181598,2400.0,PAYU
441,5181626,11.98,DISCOUNT
442,5181626,587.02,PAYU
443,5181630,30.0,DISCOUNT
444,5181630,472.0,PAYU
445,5181668,43.0,DISCOUNT
446,5181668,2107.0,PAYU
447,5181682,4.9,DISCOUNT
448,5181682,44.1,PAYU
449,5181696,19.0,DISCOUNT
450,5181696,171.0,PAYU
451,5181724,2.12,DISCOUNT
452,5181724,103.88,PAYU
453,5181774,24.9,DISCOUNT
454,5181774,224.1,PAYU
455,5181846,4.68,DISCOUNT
456,5181846,73.32,PAYU
457,5181874,1.2,DISCOUNT
458,5181874,18.8,PAYU
459,5181880,550.0,PAYU
460,5181932,100.0,PAYU
461,5181978,30.0,DISCOUNT
462,5181978,570.0,PAYU
463,5182092,17.76,DISCOUNT
464,5182092,278.24,PAYU
465,5182112,10.0,DISCOUNT
466,5182112,490.0,PAYU
467,5182114,7.02,DISCOUNT
468,5182114,109.98,PAYU
469,5182132,5540.0,PAYU
470,5182194,30.0,DISCOUNT
471,5182194,927.0,PAYU
472,5182198,2.4,DISCOUNT
473,5182198,37.6,PAYU
474,5182222,38.8,DISCOUNT
475,5182222,349.2,PAYU
476,5182274,11.94,DISCOUNT
477,5182274,187.06,PAYU
478,5182280,22.5,DISCOUNT
479,5182280,202.5,PAYU
480,5182492,3.5,DISCOUNT
481,5182492,171.5,PAYU
482,5182608,18.0,DISCOUNT
483,5182608,882.0,PAYU
484,5182674,8.46,DISCOUNT
485,5182674,132.54,PAYU
486,5182682,44.6,DISCOUNT
487,5182682,401.4,PAYU
488,5182696,2.12,DISCOUNT
489,5182696,103.88,PAYU
490,5182728,15.0,DISCOUNT
491,5182728,235.0,PAYU
492,5182730,20.0,DISCOUNT
493,5182730,180.0,PAYU
494,5182734,3530.0,PAYU
495,5182810,15.3,DISCOUNT
496,5182810,239.7,PAYU
497,5182824,50.0,DISCOUNT
498,5182824,950.0,PAYU
499,5182840,13.8,DISCOUNT
500,5182840,216.2,PAYU
501,5182858,2.12,DISCOUNT
502,5182858,103.88,PAYU
503,5182880,3.0,DISCOUNT
504,5182880,27.0,PAYU
505,5182882,50.0,DISCOUNT
506,5182882,7850.0,PAYU
507,5182930,5930.0,PAYU
508,5182960,3.72,DISCOUNT
509,5182960,58.28,PAYU
510,5182992,11.0,DISCOUNT
511,5182992,99.0,PAYU
512,5183010,6.06,DISCOUNT
513,5183010,94.94,PAYU
514,5183076,100.0,PAYU
515,5183124,100.0,PAYU
516,5183152,4.9,DISCOUNT
517,5183152,44.1,PAYU
518,5183182,4.9,DISCOUNT
519,5183182,44.1,PAYU
520,5183190,50.0,DISCOUNT
521,5183190,500.0,PAYU
522,5183214,1.7,DISCOUNT
523,5183214,15.3,PAYU
524,5183264,12789.03,PAYU
525,5183288,6.06,DISCOUNT
526,5183288,94.94,PAYU
527,5183312,5830.0,PAYU
528,5183334,2.12,DISCOUNT
529,5183334,103.88,PAYU
530,5183366,4.9,DISCOUNT
531,5183366,44.1,PAYU
532,5183368,20.0,DISCOUNT
533,5183368,980.0,PAYU
534,5183418,1050.0,PAYU
535,5183430,7760.0,PAYU
536,5183452,11.98,DISCOUNT
537,5183452,587.02,PAYU
538,5183562,50.0,DISCOUNT
539,5183562,1213.0,PAYU
540,5183578,2.12,DISCOUNT
541,5183578,103.88,PAYU
542,5183610,8.94,DISCOUNT
543,5183610,140.06,PAYU
544,5183646,24.0,DISCOUNT
545,5183646,376.0,PAYU
546,5183672,3.72,DISCOUNT
547,5183672,58.28,PAYU
548,5183678,50.0,DISCOUNT
549,5183678,1100.0,PAYU
550,5183700,26.5,DISCOUNT
551,5183700,238.5,PAYU
552,5183704,50.0,DISCOUNT
553,5183704,3450.0,PAYU
554,5183728,50.0,DISCOUNT
555,5183728,6249.0,PAYU
556,5183818,10.05,DISCOUNT
557,5183818,190.95,PAYU
558,5183864,2.12,DISCOUNT
559,5183864,103.88,PAYU
560,5183894,15.0,DISCOUNT
561,5183894,735.0,PAYU
562,5183924,2.12,DISCOUNT
563,5183924,103.88,PAYU
564,5184008,2962.92,PAYU
565,5184016,99.9,DISCOUNT
566,5184016,899.1,PAYU
567,5184064,16.5,DISCOUNT
568,5184064,313.5,PAYU
569,5184078,50.0,DISCOUNT
570,5184078,1950.0,PAYU
571,5184286,20.0,DISCOUNT
572,5184286,980.0,PAYU
573,5184322,100.0,PAYU
574,5184362,6.12,DISCOUNT
575,5184362,95.88,PAYU
576,5184450,6.0,DISCOUNT
577,5184450,114.0,PAYU
578,5184492,7.02,DISCOUNT
579,5184492,109.98,PAYU
580,5184546,11.1,DISCOUNT
581,5184546,210.9,PAYU
582,5184550,4.9,DISCOUNT
583,5184550,44.1,PAYU
584,5184564,10.0,DISCOUNT
585,5184564,490.0,PAYU
586,5184594,50.0,DISCOUNT
587,5184594,1150.0,PAYU
588,5184612,4050.0,PAYU
589,5184620,100.0,DISCOUNT
590,5184620,1090.0,PAYU
591,5184632,10.2,DISCOUNT
592,5184632,499.8,PAYU
593,5184638,3090.0,PAYU
594,5184660,2.55,DISCOUNT
595,5184660,48.45,PAYU
596,5184664,50.0,DISCOUNT
597,5184664,450.0,PAYU
598,5184670,40.0,DISCOUNT
599,5184670,1960.0,PAYU
600,5184730,2.12,DISCOUNT
601,5184730,103.88,PAYU
602,5184750,2.12,DISCOUNT
603,5184750,103.88,PAYU
604,5184860,550.0,PAYU
605,5184874,550.0,PAYU
606,5184916,30.0,DISCOUNT
607,5184916,671.0,PAYU
608,5184940,6.0,DISCOUNT
609,5184940,294.0,PAYU
610,5185070,2.5,DISCOUNT
611,5185070,47.5,PAYU
612,5185202,7.75,DISCOUNT
613,5185202,147.25,PAYU
614,5185224,4.9,DISCOUNT
615,5185224,44.1,PAYU
616,5185226,11.98,DISCOUNT
617,5185226,587.02,PAYU
618,5185278,18.75,DISCOUNT
619,5185278,356.25,PAYU
620,5185340,2.12,DISCOUNT
621,5185340,103.88,PAYU
622,5185366,50.0,DISCOUNT
623,5185366,950.0,PAYU
624,5185442,100.0,PAYU
625,5185568,12.12,DISCOUNT
626,5185568,189.88,PAYU
627,5185578,100.0,PAYU
628,5185618,4.8,DISCOUNT
629,5185618,91.2,PAYU
630,5185764,7.8,DISCOUNT
631,5185764,148.2,PAYU
632,5185792,49.7,DISCOUNT
633,5185792,447.3,PAYU
634,5185822,2.12,DISCOUNT
635,5185822,103.88,PAYU
636,5185848,5.05,DISCOUNT
637,5185848,95.95,PAYU
638,5185960,6.72,DISCOUNT
639,5185960,105.28,PAYU
640,5185984,1700.0,PAYU
641,5186020,49.9,DISCOUNT
642,5186020,449.1,PAYU
643,5186026,45.0,DISCOUNT
644,5186026,405.0,PAYU
645,5186094,6720.0,PAYU
646,5186096,100.0,DISCOUNT
647,5186096,1395.0,PAYU
648,5186124,50.0,DISCOUNT
649,5186124,1433.0,PAYU
650,5186160,50.0,DISCOUNT
651,5186160,600.0,PAYU
652,5186238,5500.0,PAYU
653,5186350,10.0,DISCOUNT
654,5186350,490.0,PAYU
655,5186414,0.55,DISCOUNT
656,5186414,10.45,PAYU
657,5186476,11.15,DISCOUNT
658,5186476,211.85,PAYU
659,5186552,17.55,DISCOUNT
660,5186552,333.45,PAYU
661,5186654,4.9,DISCOUNT
662,5186654,44.1,PAYU
663,5186688,50.0,DISCOUNT
664,5186688,450.0,PAYU
665,5186794,18.0,DISCOUNT
666,5186794,342.0,PAYU
667,5186814,2.12,DISCOUNT
668,5186814,103.88,PAYU
669,5186828,11.05,DISCOUNT
670,5186828,209.95,PAYU
671,5186902,550.0,PAYU
672,5186928,11.05,DISCOUNT
673,5186928,209.95,PAYU
674,5186950,5750.0,PAYU
675,5186982,50.0,DISCOUNT
676,5186982,460.0,PAYU
677,5187002,4.9,DISCOUNT
678,5187002,44.1,PAYU
679,5187008,17.75,DISCOUNT
680,5187008,337.25,PAYU
681,5187010,550.0,PAYU
682,5187044,12.5,DISCOUNT
683,5187044,237.5,PAYU
684,5187088,50.0,DISCOUNT
685,5187088,699.5,PAYU
686,5187136,50.0,DISCOUNT
687,5187136,450.0,PAYU
688,5187248,300.0,PAYU
689,5187256,1519.1,PAYU
690,5187274,2.12,DISCOUNT
691,5187274,103.88,PAYU
692,5187348,2.12,DISCOUNT
693,5187348,103.88,PAYU
694,5187352,20.0,DISCOUNT
695,5187352,980.0,PAYU
696,5187406,4440.0,PAYU
697,5187412,10.05,DISCOUNT
698,5187412,190.95,PAYU
699,5187450,4.9,DISCOUNT
700,5187450,44.1,PAYU
701,5187498,5.5,DISCOUNT
702,5187498,104.5,PAYU
703,5187568,680.0,PAYU
704,5187728,4.9,DISCOUNT
705,5187728,44.1,PAYU
706,5187730,2030.0,PAYU
707,5187742,2.12,DISCOUNT
708,5187742,103.88,PAYU
709,5187750,1490.0,PAYU
710,5187752,30.0,DISCOUNT
711,5187752,570.0,PAYU
712,5187798,3.42,DISCOUNT
713,5187798,53.58,PAYU
714,5187808,8.44,DISCOUNT
715,5187808,413.56,PAYU
716,5187814,10.0,DISCOUNT
717,5187814,490.0,PAYU
718,5187820,11.15,DISCOUNT
719,5187820,211.85,PAYU
720,5187840,5.0,DISCOUNT
721,5187840,95.0,PAYU
722,5187890,2.12,DISCOUNT
723,5187890,103.88,PAYU
724,5187906,39.6,DISCOUNT
725,5187906,356.4,PAYU
726,5187920,4260.0,PAYU
727,5187970,41.6,DISCOUNT
728,5187970,374.4,PAYU
729,5188000,25.0,PAYU
730,5188018,3.0,DISCOUNT
731,5188018,57.0,PAYU
732,5188078,2.12,DISCOUNT
733,5188078,103.88,PAYU
734,5188082,6.0,DISCOUNT
735,5188082,294.0,PAYU
736,5188086,2.12,DISCOUNT
737,5188086,103.88,PAYU
738,5188088,50.0,DISCOUNT
739,5188088,549.0,PAYU
740,5188138,5.55,DISCOUNT
741,5188138,105.45,PAYU
742,5188172,50.0,DISCOUNT
743,5188172,860.0,PAYU
744,5188202,1000.0,PAYU
745,5188208,4.9,DISCOUNT
746,5188208,44.1,PAYU
747,5188396,0.1,DISCOUNT
748,5188396,0.9,PAYU
749,5188398,100.0,PAYU
750,5188420,26.36,DISCOUNT
751,5188420,1291.64,PAYU
752,5188428,2970.0,PAYU
753,5188520,160.0,PAYU
754,5188534,2.12,DISCOUNT
755,5188534,103.88,PAYU
756,5188538,24.0,DISCOUNT
757,5188538,1176.0,PAYU
758,5188580,45.0,DISCOUNT
759,5188580,2205.0,PAYU
760,5188628,350.0,PAYU
761,5188654,4.9,DISCOUNT
762,5188654,44.1,PAYU
763,5188664,50.0,DISCOUNT
764,5188664,549.0,PAYU
765,5188672,31.5,DISCOUNT
766,5188672,283.5,PAYU
767,5188698,3.25,DISCOUNT
768,5188698,61.75,PAYU
769,5188734,25.0,DISCOUNT
770,5188734,475.0,PAYU
771,5188748,6.8,DISCOUNT
772,5188748,129.2,PAYU
773,5188758,8.0,DISCOUNT
774,5188758,392.0,PAYU
775,5188798,4.9,DISCOUNT
776,5188798,44.1,PAYU
777,5188890,4.9,DISCOUNT
778,5188890,44.1,PAYU
779,5188914,1750.0,PAYU
780,5188966,2390.0,PAYU
781,5189000,7.8,DISCOUNT
782,5189000,148.2,PAYU
783,5189042,4.0,DISCOUNT
784,5189042,76.0,PAYU
785,5189084,50617.98,PAYU
786,5189122,8.25,DISCOUNT
787,5189122,156.75,PAYU
788,5189168,7.75,DISCOUNT
789,5189168,147.25,PAYU
790,5189184,23.96,DISCOUNT
791,5189184,1174.04,PAYU
792,5189220,4.9,DISCOUNT
793,5189220,44.1,PAYU
794,5189252,1319.1,PAYU
795,5189290,6019.1,PAYU
796,5189386,50.0,DISCOUNT
797,5189386,3240.0,PAYU
798,5189500,1000.0,PAYU
799,5189524,11.0,DISCOUNT
800,5189524,209.0,PAYU
801,5189526,9870.0,PAYU
802,5189596,12.55,DISCOUNT
803,5189596,238.45,PAYU
804,5189628,13.38,DISCOUNT
805,5189628,655.62,PAYU
806,5189638,550.0,PAYU
807,5189674,15.05,DISCOUNT
808,5189674,285.95,PAYU
809,5189730,5220.0,PAYU
810,5189736,10.05,DISCOUNT
811,5189736,190.95,PAYU
812,5189742,4920.0,PAYU
813,5189800,5.0,DISCOUNT
814,5189800,95.0,PAYU
815,5189804,4.9,DISCOUNT
816,5189804,44.1,PAYU
817,5189882,4.9,DISCOUNT
818,5189882,44.1,PAYU
819,5189926,3037.07,PAYU
820,5189930,2.12,DISCOUNT
821,5189930,103.88,PAYU
822,5189932,6919.1,PAYU
823,5189948,40.0,DISCOUNT
824,5189948,1960.0,PAYU
825,5189962,50.0,DISCOUNT
826,5189962,1550.0,PAYU
827,5190002,50.0,DISCOUNT
828,5190002,6940.0,PAYU
829,5190022,550.0,PAYU
830,5190028,2.9,DISCOUNT
831,5190028,26.1,PAYU
832,5190054,4010.0,PAYU
833,5190096,2.12,DISCOUNT
834,5190096,103.88,PAYU
835,5190106,24.1,DISCOUNT
836,5190106,216.9,PAYU
837,5190124,4.9,DISCOUNT
838,5190124,44.1,PAYU
839,5190144,50.0,DISCOUNT
840,5190144,3127.0,PAYU
841,5190180,8.98,DISCOUNT
842,5190180,440.02,PAYU
843,5190198,11.0,DISCOUNT
844,5190198,539.0,PAYU
845,5190214,4.9,DISCOUNT
846,5190214,44.1,PAYU
847,5190222,100.0,DISCOUNT
